,CD_GEOCODM,NM_AGSN,CodAGSN,Estimated_Population,DPO_EmAGSN,Pop_EmAGSN,AbsoluteDifference,ProportionalDifference
256,3515004,DOIS PALITOS,35150040045.0,1203.9998779296875,281,1204,-0.0001220703125,-1.0138730274086379e-07
257,3515004,NOVA REPÚBLICA,35150040059.0,171.61367797851562,197,687,-515.3863220214844,-0.7501984308900791
258,3515004,AUGUSTO DE ALMEIDA BATISTA,35150040064.0,705.0,56,220,485.0,2.2045454545454546
259,3515004,POMBAS,35150040020.0,281.8045349121094,57,214,67.80453491210938,0.3168436210846233
260,3515004,GUAIRACÁ,35150040058.0,269.0,75,269,0.0,0.0
261,3515707,JARDIM GENTILE,35157070001.0,2586.56103515625,648,2416,170.56103515625,0.07059645494877897
262,3515707,SEM DENOMINAÇÃO DA VILA BIANCHI,35157070002.0,526.2879638671875,201,694,-167.7120361328125,-0.2416599944276837
263,3515707,VILA TANQUINHO,35157070003.0,755.143798828125,175,639,116.143798828125,0.1817586836120892
264,3515707,VILA T.V.,35157070004.0,769.0,203,769,0.0,0.0
265,3515707,SEM DENOMINAÇÃO DO JARDIM ANCHIETA,35157070005.0,,64,246,,
266,3515707,SEM DENOMINAÇÃO DO JARDIM LEILA,35157070006.0,787.78515625,202,747,40.78515625,0.054598602744310575
267,3515707,SEM DENOMINAÇÃO DO JARDIM HELENA,35157070007.0,188.78988647460938,75,299,-110.21011352539062,-0.3685956974093332
268,3515707,SEM DENOMINAÇÃO DO PARQUE SÃO JUDAS TADEU,35157070008.0,898.0,238,898,0.0,0.0
269,3515707,SEM DENOMINAÇÃO DO JARDIM SÃO BENEDITO,35157070009.0,1229.0,312,1229,0.0,0.0
270,3515707,SEM DENOMINAÇÃO DO JARDIM SARA,35157070010.0,274.44964599609375,64,217,57.44964599609375,0.2647449124243952
271,3515707,SEM DENOMINAÇÃO DO JARDIM DAYSE,35157070011.0,342.0,93,342,0.0,0.0
272,3515707,SEM DENOMINAÇÃO DA VILA LOANDA,35157070012.0,1139.9609375,334,1210,-70.0390625,-0.05788352272727273
273,3515707,SEM DENOMINAÇÃO DO JARDIM SÃO JOSÉ,35157070013.0,660.0,169,660,0.0,0.0
274,3515707,SEM DENOMINAÇÃO DO JARDIM SOEIRO,35157070014.0,,73,275,,
275,3515707,SEM DENOMINAÇÃO DO JARDIM SÃO FERNANDO,35157070015.0,307.0,78,307,0.0,0.0
276,3515707,SEM DENOMINAÇÃO DO JARDIM SÃO LÁZARO,35157070016.0,,34,108,,
277,3515707,SEM DENOMINAÇÃO DO JARDIM VERÃO,35157070017.0,0.0,139,574,-574.0,-1.0
278,3516309,RUA NILO PEÇANHA,35163090001.0,291.4954528808594,64,214,77.49545288085938,0.36212828448999707
279,3516309,RUA DAS TULIPAS,35163090002.0,,80,299,,
280,3516309,RUA JOSÉ MARIO CURTY,35163090003.0,75.16776275634766,68,241,-165.83223724365234,-0.6881005694757358
281,3516309,RUA DAS LARANJEIRAS,35163090005.0,269.22247314453125,39,155,114.22247314453125,0.7369191815776209
282,3516309,RUA ROQUE MODESTO DOS SANTOS,35163090007.0,29.101987838745117,74,269,-239.89801216125488,-0.891814171603178
283,3516309,OURO PRETO,35163090008.0,1717.76025390625,452,1626,91.76025390625,0.056433120483548586
284,3516309,RUA JULIO GOMES DE MELO,35163090014.0,295.0,79,295,0.0,0.0
285,3516309,RUA QUINZE,35163090015.0,496.198974609375,109,380,116.198974609375,0.30578677528782894
286,3516309,RUA DEZESSEIS,35163090016.0,181.66641235351562,89,349,-167.33358764648438,-0.47946586718190365
287,3516309,RUA DAS MARGARIDAS,35163090017.0,543.0,156,543,0.0,0.0
288,3516309,RUA DAS ORQUÍDEAS,35163090018.0,485.07025146484375,131,433,52.07025146484375,0.12025462232065531
289,3516309,RUA MORATÃO,35163090019.0,164.34991455078125,56,191,-26.65008544921875,-0.13952924318962695
290,3516309,RUA JOAQUIM BASÍLIO,35163090020.0,,53,226,,
291,3516309,RUA ARCÍLIO FERDEZONI 2,35163090022.0,283.0812072753906,102,373,-89.91879272460938,-0.2410691493957356
292,3516309,RUA ONZE,35163090023.0,328.0,87,328,0.0,0.0
293,3516309,AVENIDA SALVADOR,35163090024.0,269.0,65,269,0.0,0.0
294,3516309,VIELA UM,35163090025.0,543.8707275390625,127,490,53.8707275390625,0.10994026028380102
295,3516309,VIELA DOIS,35163090026.0,641.0,182,641,0.0,0.0
296,3516309,AVENIDA SANTA FÉ,35163090027.0,333.08685302734375,81,265,68.08685302734375,0.25693152085790094
297,3516309,RUA NOVE DE JULHO,35163090028.0,407.0,117,407,0.0,0.0
298,3516309,RUA VINTE E QUATRO,35163090029.0,276.51025390625,47,170,106.51025390625,0.6265309053308824
299,3516309,VIELA SEIS,35163090030.0,377.0,107,377,0.0,0.0
300,3518800,VILA FLÓRIDA,35188000013.0,1325.5223388671875,332,1143,182.5223388671875,0.15968708562308617
301,3518800,JARDIM MONTE SANTO,35188000101.0,346.0,99,346,0.0,0.0
302,3518800,VILA FLORA,35188000032.0,1514.93505859375,448,1768,-253.06494140625,-0.14313627907593326
303,3518800,ITAPEGICA,35188000103.0,279.53289794921875,164,573,-293.46710205078125,-0.51215899136262
304,3518800,VILA SÃO RAFAEL / JARDIM VILA GALVÃO II,35188000065.0,784.813232421875,254,979,-194.186767578125,-0.19835216300114913
305,3518800,JARDIM VILA GALVÃO II,35188000030.0,5083.43505859375,1278,5158,-74.56494140625,-0.014456173207880962
306,3518800,JARDIM ROSA DE FRANÇA,35188000122.0,657.68310546875,149,604,53.68310546875,0.08887931368998345
307,3518800,VALE DOS MACHADOS / PICANÇO,35188000104.0,1067.26416015625,311,1188,-120.73583984375,-0.10162949481797139
308,3518800,JARDIM FLOR DA MONTANHA - JARDIM SANTA MENA,35188000004.0,2687.689697265625,734,2564,123.689697265625,0.048240911570056555
309,3518800,JARDIM SANTA CECÍLIA II,35188000042.0,935.0419921875,225,763,172.0419921875,0.22548098582896461
310,3518800,JARDIM SANTA CECÍLIA III,35188000003.0,324.810791015625,54,216,108.810791015625,0.503753662109375
311,3518800,VILA RIO,35188000105.0,343.0,87,343,0.0,0.0
312,3518800,NÚCLEO JARDIM CREPÚSCULO,35188000106.0,2040.9998779296875,618,2041,-0.0001220703125,-5.980907030867222e-08
313,3518800,NÚCLEO VALE DOS MACHADOS,35188000107.0,3837.60888671875,1083,3819,18.60888671875,0.0048727118928384395
314,3518800,INVASÃO DOS PADRES,35188000108.0,987.6871948242188,242,806,181.68719482421875,0.2254183558613136
315,3518800,JARDIM JOVAIA II,35188000010.0,537.0,149,537,0.0,0.0
316,3518800,COCAIA,35188000045.0,,92,325,,
317,3518800,JARDIM BELA VISTA II,35188000014.0,878.0,238,878,0.0,0.0
318,3518800,JARDIM SANTA MARIA / PARQUE DAS LARANJEIRAS / JARDIM SANTA E,35188000047.0,2310.18212890625,649,2427,-116.81787109375,-0.048132620969818705
319,3518800,JARDIM ALVORADA - JARDIM MONTE CARMELO,35188000067.0,1252.759033203125,299,1126,126.759033203125,0.11257462984291741
320,3518800,JARDIM AMÉRICA - JARDIM BELA VISTA I,35188000031.0,595.0,154,595,0.0,0.0
321,3518800,JARDIM ALVORADA - JARDIM AMÉRICA,35188000046.0,379.240966796875,156,506,-126.759033203125,-0.250511923326334
322,3518800,JARDIM SCYNTILA,35188000026.0,261.2896423339844,117,490,-228.71035766601562,-0.4667558319714605
323,3518800,JARDIM ZIMBARDI,35188000027.0,506.0,86,506,0.0,0.0
324,3518800,JARDIM SÃO FRANCISCO,35188000066.0,572.4776611328125,200,755,-182.5223388671875,-0.24175144220819536
325,3518800,JARDIM SANTA BÁRBARA,35188000028.0,1960.0,561,2192,-232.0,-0.10583941605839416
326,3518800,HATSUTA,35188000109.0,943.0,223,943,0.0,0.0
327,3518800,JARDIM PALMIRA,35188000084.0,553.2481079101562,289,1061,-507.75189208984375,-0.4785597474927839
328,3518800,JARDIM DIOGO,35188000110.0,1123.7371826171875,267,964,159.7371826171875,0.16570247159459284
329,3518800,JARDIM ELIZABETH,35188000011.0,1003.094482421875,242,942,61.094482421875,0.0648561384520966
330,3518800,SÍTIO DOS MORROS,35188000087.0,1907.6312255859375,596,2332,-424.3687744140625,-0.181976318359375
331,3518800,JARDIM SÃO JOÃO BATISTA,35188000012.0,780.049560546875,256,1045,-264.950439453125,-0.25354109038576556
332,3518800,JARDIM SANTA RITA II,35188000005.0,12753.5517578125,3352,12732,21.5517578125,0.0016927236736176564
333,3518800,JARDIM SANTA RITA I,35188000006.0,,113,390,,
334,3518800,JARDIM PARAÍSO I,35188000048.0,484.3117980957031,203,731,-246.68820190429688,-0.33746676047099433
335,3518800,JARDIM PARAÍSO II,35188000018.0,1610.3609619140625,520,1844,-233.6390380859375,-0.12670229831124594
336,3518800,NÚCLEO PARQUE MIKAIL,35188000111.0,1384.9737548828125,442,1639,-254.0262451171875,-0.15498855711847925
337,3518800,JARDIM SÃO DOMINGOS,35188000119.0,766.2606201171875,200,731,35.2606201171875,0.04823614243117305
338,3518800,JARDIM SANTA INÊS I,35188000017.0,564.0,152,564,0.0,0.0
339,3518800,PARQUE IMPERIAL,35188000016.0,847.0,246,847,0.0,0.0
340,3518800,JARDIM ACÁCIO,35188000072.0,217.71871948242188,96,327,-109.28128051757812,-0.3341935184023796
341,3518800,JARDIM SÃO DOMINGOS - RUA BASTOS,35188000049.0,398.0,92,398,0.0,0.0
342,3518800,PARQUE PRIMAVERA II,35188000113.0,4409.6240234375,1249,4511,-101.3759765625,-0.02247306064342718
343,3518800,PARQUE PRIMAVERA I,35188000116.0,7671.68505859375,2061,7768,-96.31494140625,-0.012398936844264933
344,3518800,JARDIM BANANAL / JARDIM ADELINA,35188000082.0,652.0,145,652,0.0,0.0
345,3518800,BANANAL,35188000114.0,854.0,213,854,0.0,0.0
346,3518800,JARDIM DOS EUCALIPTOS,35188000070.0,1911.9798583984375,503,1987,-75.0201416015625,-0.037755481430076746
347,3518800,NÚCLEO SANTOS DUMONT,35188000115.0,5065.0,1374,5065,0.0,0.0
348,3518800,JARDIM LENIZE,35188000083.0,1358.0,366,1358,0.0,0.0
349,3518800,JARDIM LENIZE / JARDIM LENIZE II,35188000117.0,1645.90283203125,458,1712,-66.09716796875,-0.038608158860251166
350,3518800,JARDIM NOVO PORTUGAL,35188000121.0,326.0,81,326,0.0,0.0
351,3518800,JARDIM SÃO JOÃO,35188000007.0,533.0,136,533,0.0,0.0
352,3518800,CIDADE SOBERANA (RUA DAS MARGARIDAS),35188000074.0,1789.32470703125,510,1970,-180.67529296875,-0.09171334668464468
353,3518800,PARQUE BAMBI,35188000118.0,7074.70751953125,1972,7217,-142.29248046875,-0.01971629215307607
354,3518800,VILA OPERÁRIA / CABUÇU,35188000147.0,2113.0986328125,593,2107,6.0986328125,0.002894462654247746
355,3518800,JARDIM SANTA RITA III,35188000148.0,806.9999389648438,231,807,-6.103515625e-05,-7.563216387856258e-08
356,3518800,JARDIM OKWYAMA,35188000149.0,754.366943359375,220,899,-144.633056640625,-0.16088215421649055
357,3518800,PARQUE MIKAIL,35188000150.0,408.394287109375,98,359,49.394287109375,0.1375885434801532
358,3518800,PARQUE MIKAIL II,35188000151.0,477.13909912109375,80,291,186.13909912109375,0.6396532615845146
359,3518800,CIDADE SOBERANA,35188000152.0,473.79119873046875,121,455,18.79119873046875,0.04129933786916209
360,3518800,AGUAZUL,35188000071.0,335.10040283203125,83,315,20.10040283203125,0.06381080264136904
361,3518800,NOVO RECREIO,35188000169.0,6916.0,1852,6916,0.0,0.0
362,3518800,VILA OPERÁRIA,35188000190.0,3041.7734375,798,3039,2.7734375,0.0009126151694636394
363,3518800,VILA LANZARA,35188000177.0,711.4736328125,174,680,31.4736328125,0.046284754136029414
364,3518800,JARDIM VALÉRIA,35188000178.0,111.47602844238281,109,358,-246.5239715576172,-0.6886144456916681
365,3518800,JARDIM TESTAI,35188000180.0,,57,205,,
366,3518800,VILA CAMBARÁ,35188000181.0,350.3337097167969,80,337,13.333709716796875,0.039565904204145026
367,3518800,JD MARIA APARECIDA / VILA SÃO JOÃO BATISTA / VILA MARILDA,35188000183.0,1360.2017822265625,279,1027,333.2017822265625,0.3244418522167113
368,3518800,JARDIM SANTA INÊS,35188000184.0,246.00001525878906,75,246,1.52587890625e-05,6.202759781504066e-08
369,3518800,JARDIM VILA RICA,35188000185.0,263.0,70,263,0.0,0.0
370,3518800,JARDIM PARAÍSO II / PARQUE MIKAIL,35188000186.0,124.0,31,124,0.0,0.0
371,3518800,ANITA GARIBALDI,35188000167.0,6942.1708984375,1869,6887,55.1708984375,0.008010875335777552
372,3518800,ARICANDUVA,35188000188.0,304.0,80,304,0.0,0.0
373,3518800,JARDIM BONSUCESSO / JARDIM DOS PIMENTAS / PARQUE JANDAIA,35188000123.0,5614.26220703125,1444,5422,192.26220703125,0.03545964718392659
374,3518800,PARQUE JANDAIA,35188000096.0,2830.26708984375,798,2991,-160.73291015625,-0.053738853278585755
375,3518800,CIDADE TUPINAMBÁ,35188000088.0,4377.0,1131,4377,0.0,0.0
376,3518800,JARDIM DOS PIMENTAS I,35188000124.0,513.6173095703125,126,474,39.6173095703125,0.08358082187829641
377,3518800,JARDIM SANTA MARIA I,35188000051.0,945.0,272,945,0.0,0.0
378,3518800,JARDIM NOVA CIDADE - JARDIM NORMÂNDIA,35188000053.0,1518.7373046875,428,1589,-70.2626953125,-0.04421818458936438
379,3518800,JARDIM NORMÂNDIA (AVENIDA MACEIÓ),35188000092.0,118.0332260131836,111,402,-283.9667739868164,-0.7063850099174538
380,3518800,JARDIM NOVA CIDADE,35188000093.0,720.0,189,720,0.0,0.0
381,3518800,NÚCLEO SÍTIO SÃO FRANCISCO / PARQUE MARIA HELENA,35188000125.0,5497.0224609375,1594,5765,-267.9775390625,-0.046483528024718127
382,3518800,JARDIM SANTA MARIA / JARDIM MONTE ALEGRE II,35188000054.0,1664.9542236328125,479,1830,-165.0457763671875,-0.09018894883452869
383,3518800,VILA GUILHERMINO,35188000099.0,689.0,183,689,0.0,0.0
384,3518800,CIDADE PARQUE ALVORADA IV / JARDIM ANSALCA / PARQUE JUREMA,35188000052.0,409.4326171875,151,523,-113.5673828125,-0.21714604744263863
385,3518800,JARDIM PAULISTA,35188000094.0,265.9294738769531,108,399,-133.07052612304688,-0.3335100905339521
386,3518800,JARDIM SANTO AFONSO,35188000019.0,487.0,191,734,-247.0,-0.33651226158038144
387,3518800,JARDIM ARAPONGAS,35188000033.0,1017.3063354492188,330,1290,-272.69366455078125,-0.21139043763626453
388,3518800,NÚCLEO BAIRRO DO VERMELHÃO OU CAMPO DO JAPONÊS,35188000126.0,1327.0,364,1327,0.0,0.0
389,3518800,VILA SÃO GABRIEL (RUA JOÃO B. GLÓRIA),35188000044.0,584.0,163,584,0.0,0.0
390,3518800,JARDIM BRASIL,35188000076.0,1360.343994140625,297,1209,151.343994140625,0.12518113659274194
391,3518800,JARDIM LEBLON,35188000073.0,175.38409423828125,97,332,-156.61590576171875,-0.47173465590879143
392,3518800,NÚCLEO JARDIM CENTENÁRIO,35188000127.0,344.0,93,344,0.0,0.0
393,3518800,CIDADE PARQUE INDUSTRIAL CUMBICA,35188000089.0,431.0,123,431,0.0,0.0
394,3518800,NÚCLEO VILA PARAÍSO,35188000128.0,543.0,142,543,0.0,0.0
395,3518800,JARDIM PARAÍSO I E II,35188000055.0,,87,329,,
396,3518800,NÚCLEO JARDIM SANDRA I,35188000130.0,500.8642883300781,147,601,-100.13571166992188,-0.1666151608484557
397,3518800,JARDIM NANCY,35188000131.0,166.3279266357422,77,331,-164.6720733642578,-0.4974987110702653
398,3518800,JARDIM JACI,35188000057.0,710.5028076171875,273,1024,-313.4971923828125,-0.30614960193634033
399,3518800,NÚCLEO JARDIM GUARACY,35188000132.0,613.0,171,613,0.0,0.0
400,3518800,JARDIM ALICE / CIDADE TUPINAMBÁ,35188000056.0,1475.5118408203125,401,1598,-122.4881591796875,-0.07665091312871558
401,3518800,SÍTIO SÃO FRANCISCO,35188000133.0,231.7557373046875,130,463,-231.2442626953125,-0.49944765160974625
402,3518800,CIDADE SATÉLITE (AVENIDA PATOS),35188000134.0,364.0,116,364,0.0,0.0
403,3518800,CIDADE SATÉLITE (RUAS J. DE CASTILHO/SANTANA BOA VISTA),35188000078.0,390.0133972167969,95,386,4.013397216796875,0.01039740211605408
404,3518800,CIDADE SATÉLITE I,35188000164.0,8822.8984375,2550,9270,-447.1015625,-0.04823102076591154
405,3518800,CIDADE SATÉLITE - AVENIDA GUINLE,35188000064.0,702.7290649414062,246,902,-199.27093505859375,-0.22092121403391768
406,3518800,CIDADE SATÉLITE - AVENIDA CUMBICA,35188000020.0,1633.9930419921875,463,1627,6.9930419921875,0.004298120462315612
407,3518800,CIDADE SATÉLITE (AVENIDA BAQUIRIVU),35188000079.0,929.2783813476562,232,929,0.27838134765625,0.00029965699424784717
408,3518800,CIDADE JARDIM CUMBICA I,35188000025.0,2211.0,594,2211,0.0,0.0
409,3518800,CIDADE JARDIM CUMBICA II,35188000022.0,4880.0,1292,4880,0.0,0.0
410,3518800,JARDIM NOVA CUMBICA - RUA CRUZEIRO - MISSOURI,35188000001.0,2051.0,531,2051,0.0,0.0
411,3518800,PARQUE UIARAPURU,35188000002.0,123.0,33,123,0.0,0.0
412,3518800,PARQUE UIRAPURU II,35188000136.0,173.04501342773438,47,164,9.045013427734375,0.05515252090081936
413,3518800,VILA NOVA CUMBICA,35188000137.0,235.0,69,235,0.0,0.0
414,3518800,PARQUE UIRAPURU,35188000062.0,768.623779296875,174,600,168.623779296875,0.28103963216145833
415,3518800,PAES DE BARROS - CUMBICA,35188000038.0,1883.0001220703125,515,1883,0.0001220703125,6.482756903876792e-08
416,3518800,JARDIM SÃO MANOEL,35188000024.0,769.0,218,769,0.0,0.0
417,3518800,JARDIM DAS NAÇÕES I,35188000138.0,1105.125,320,1235,-129.875,-0.10516194331983805
418,3518800,JD DAS NAÇÕES / JD NAÇÕES II / JD DAS ANDORINHAS,35188000090.0,628.0,182,628,0.0,0.0
419,3518800,JARDIM CUMBICA III,35188000077.0,,81,321,,
420,3518800,JARDIM CUMBICA II,35188000023.0,1440.2166748046875,196,703,737.2166748046875,1.0486723681432255
421,3518800,CAMINHO DO RINCÃO,35188000139.0,429.0,125,429,0.0,0.0
422,3518800,JARDIM CUMBICA I,35188000058.0,845.0,223,845,0.0,0.0
423,3518800,TIJUCO PRETO,35188000100.0,1765.321533203125,463,1762,3.321533203125,0.001885092623793984
424,3518800,JARDIM MARIA DIRCE,35188000009.0,287.0,76,287,0.0,0.0
425,3518800,JARDIM DOS PIMENTAS II,35188000140.0,,54,186,,
426,3518800,JARDIM PRESIDENTE DUTRA II,35188000008.0,1923.709228515625,604,2228,-304.290771484375,-0.1365757502174035
427,3518800,PARQUE SÃO LUÍS,35188000097.0,48.571475982666016,13,46,2.5714759826660156,0.055901651797087296
428,3518800,JARDIM PRESIDENTE DUTRA I,35188000040.0,560.3047485351562,126,444,116.30474853515625,0.2619476318359375
