"","CD_AGSN","DPO_EmAGSN","PopEmDPO_EmAGSN"
"5960","29274080286","157","562"
"5961","29274080287","795","2357"
"5962","29274080288","1573","5148"
"5963","29274080289","1950","6132"
"5964","29274080290","3389","10973"
"5965","29274080291","1105","3413"
"5966","29274080293","3125","9676"
"5967","29274080294","3301","10065"
"5968","29274080295","6090","18874"
"5969","29274080296","2708","8531"
"5970","29274080297","1561","5166"
"5971","29274080298","423","1248"
"5972","29274080299","440","1323"
"5973","29274080300","205","698"
"5974","29274080301","6516","21264"
"5975","29274080302","2216","6876"
"5976","29274080303","1260","4056"
"5977","29274080304","2724","9299"
"5978","29274080305","1412","4491"
"5979","29274080306","329","1148"
"5980","29274080307","152","442"
"5981","29274080308","125","323"
"5982","29274080309","2576","7964"
"5983","29274080310","1486","4604"
"5984","29274080311","939","3074"
"5985","29274080312","513","1788"
"5986","29274080313","429","1704"
"5987","29274080314","360","1122"
"5988","29274080315","641","1699"
"5989","29274080316","344","1109"
"5990","29274080317","448","1416"
"5991","29274080318","885","2578"
"5992","29274080319","171","471"
"5993","29274080320","246","870"
"5994","29274080321","1003","3543"
"5995","29274080322","171","557"
"5996","29274080323","805","2630"
"5997","29274080324","1308","4138"
"5998","29274080325","310","1068"
"5999","29274080326","861","2752"
"6000","29274080327","2444","7521"
"6001","29274080328","665","2257"
"6002","29274080329","1083","3609"
"6003","29274080330","515","1635"
"6004","29274080331","1209","3911"
"6005","29274080332","1364","4483"
"6006","29274080333","549","1756"
"6007","29274080335","767","2494"
"6008","29274080336","2388","7667"
"6009","29274080337","888","2956"
"6010","29274080338","1131","3626"
"6011","29274080339","1492","4900"
"6012","29274080340","317","1026"
"6013","29274080341","772","2409"
"6014","29274080342","3635","11613"
"6015","29274080343","378","1122"
"6016","29274080344","5116","16162"
"6017","29274080345","683","2507"
"6018","29274080347","274","749"
"6019","29274080349","436","1502"
"6020","29274080350","1292","3994"
"6021","29274080351","523","1597"
"6022","29274080352","425","1446"
"6023","29274080353","6501","20254"
"6024","29274080354","664","2140"
"6025","29274080355","352","1286"
"6026","29274080356","1094","3225"
"6027","29274080357","1019","3171"
"6028","29274080358","373","1209"
"6029","29274080359","1948","6396"
"6030","29274080360","210","662"
"6031","29274080361","496","1538"
"6032","29274080362","476","1573"
"6033","29274080363","236","767"
"6034","29274080364","383","1167"
"6035","29274080365","128","455"
"6036","29274080366","1013","3401"
"6037","29274080367","1723","5582"
"6038","29274080368","249","863"
"6039","29274080369","803","2721"
